X,Y,OBJECTID,LOCATION,STATION,CODE,ADDRESS,ZIP,PASS_OP,PASS_NETWO,COMM_OP,COMM_NETWO,BUS_ROUTES,TRANSIT,AIRPORT,STATION_TY,INTERMODAL,DIST,CO
-13570041.4325,4385967.4809,110,Monterey Bay Aquarium,MONTEREY-Aquarium,MYA,"886 Cannery Row, at David Ave.",93940, , , , ,68, , ,2,0,5,MON
-13567305.6029,4382531.9906,111,Hyatt-Regency Monterey,MONTEREY-Hyatt,MYH,1 Old Golf Course Rd.,93940, , , , ,68, , ,2,0,5,MON
-13569265.2155,4383569.0537,112,Monterey Marriott Hotel,MONTEREY-Marriott,MYM,350 Calle Principal,93940, , , , ,68, , ,2,0,5,MON
-13569090.1518,4382910.5337,113,Monterey Travelodge,MONTEREY-Travelodge,MYT,675 Munras Ave.,93940, , , , ,68, , ,2,0,5,MON
-13542785.9544,4394335.9146,114,Amtrak Station,SALINAS,SNS,11 Station Place,93901,Amtrak,Coast Starlight, , ,"17,21,68", , ,3,1,5,MON
-13612609.7762,4622422.1914,115,Napa Valley Wine Train Depot,NAPA,NPW,1275 McKinstry St.,94559, , , , ,7, , ,2,0,4,NAP
-13613000.8693,4621897.5505,116,VINE Transit Center,NAPA,NAP,Pearl St. at Main St.,94559, , , , ,7, , ,2,0,4,NAP
-13379063.2813,4768706.1137,117,Amtrak Station,TRUCKEE,TRU,10065 Donner Pass Road,96161,Amtrak,California Zephyr, , ,20a, , ,3,1,3,NEV
-13122608.2389,4002477.0474,118,Amtrak Station,ANAHEIM,ANA,2150 E. Katella (Edison Stadium),92806,Amtrak,Pacific Surfliner,Metrolink,Orange County Line,1,OCTA, ,5,1,12,ORA
-13127054.3063,4011183.6827,119,Amtrak/Metrolink Station,FULLERTON,FUL,120 E. Santa Fe Ave.,92832,Amtrak,"Pacific Surfliner,Southwest Chief",Metrolink,"91 Line,Orange County Line","1a,39",OCTA, ,5,1,12,ORA
-13105938.252,3982814.0844,120,Transportation Center,IRVINE,IRV,15215 Barranca St.,92618,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line", ,OCTA, ,4,1,12,ORA
-13098462.0335,3962051.6179,121,Amtrak Station,SAN JUAN CAPISTRANO,SNC,26701 Verdugo St.,92675,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line",1a,OCTA, ,5,1,12,ORA
-13119669.4821,3995482.8428,122,Regional Trans. Center,SANTA ANA,SNA,1000 Santa Ana Blvd.,92701,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line",1a,OCTA,OCTA bus to John Wayne Orange County Airport (SNA),8,1,12,ORA
-13093378.4523,3951134.9143,123,Amtrak Station,SAN CLEMENTE PIER,SNP,Municipal Pier,92676,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line", ,OCTA, ,4,1,12,ORA
-13478848.647,4707947.2165,124,Amtrak Station,AUBURN,ARN,277 Nevada St. at Fulweiler,95603,Amtrak,Capitol Corridor, , ,"3,20a","Placer County Transit,Auburn Transit", ,5,1,3,PLA
-13501445.3812,4685966.9648,125,Amtrak Station,ROSEVILLE,RSV,201 Pacific St. at Church,95678,Amtrak,"California Zephyr,Capitol Corridor", , ,"3,20a",Roseville Transit, ,5,1,3,PLA
-13464448.6684,4735756.1766,126,Amtrak Station,COLFAX,COX,99 Railroad St.,95713,Amtrak,California Zephyr, , ,20a, , ,3,1,3,PLA
-13496072.5042,4691817.314,127,Amtrak Station,ROCKLIN,RLN,Rocklin Rd. at Railroad Ave.,95677,Amtrak,Capitol Corridor, , ,"3,20a",Placer County Transit, ,5,1,3,PLA
-13017633.814,3994978.1452,128,Coco's Family Restaurant,HEMET,HET,3246 West Florida Ave.,92544, , , , ,19a, , ,2,0,8,RIV
-13020972.9256,3995440.4396,129,Simpson Center,HEMET,HMT,308 East Devonshire,92543, , , , ,19a, , ,2,0,8,RIV
-13056725.9909,4017634.9425,130,Big O Tires,MORENO VALLEY,MOV,2624 East Alesando Blvd.,92508, , , , ,19a, , ,2,0,8,RIV
-12970028.8686,4005091.2805,131,Palm Springs Airport,PALM SPRINGS,PSP,3400 Tahquitz Canyon Way,92262, , , , ,"19b,39", , ,2,0,8,RIV
-13045570.2752,3990024.5262,132,CL Travel,SUN CITY,SUT,26908 Cherry Hills Blvd.,92586, , , , ,19a, , ,2,0,8,RIV
-12939085.2575,3990577.4064,133,Bus Stop,INDIO,IDO,Hwy 111 at Monroe Ave. (NE Corner),92201, , , , ,"19b,39", , ,2,0,8,RIV
-12957379.9355,3991876.0254,134,Palm Desert Westfield Mall,PALM DESERT,PDC,72-840 Highway 111,92260, , , , ,"19b,39", , ,2,0,8,RIV
-12974157.7434,4015099.0161,135,Amtrak Station,PALM SPRINGS NORTH,PSN,Indian Ave. at UP Tracks & I-10,92262,Amtrak,"Sunset Limited,Texas Eagle", , , , , ,1,0,8,RIV
-13049541.8415,4002339.2966,136,Intl House of Pancakes,PERRIS,PRI,1688-J No. Perris Blvd.,92571, , , , ,19a, , ,2,0,8,RIV
-13065543.8286,4025524.9795,137,Metrolink Station,RIVERSIDE-DOWNTOWN,RIV,4066 Vine St.,92501,Amtrak,Southwest Chief,Metrolink,"91 Line,Inland Empire-Orange County Line,Riverside Line,San Bernardino Line","19,39", , ,3,1,8,RIV
-13525279.6176,4662140.9528,138,Amtrak Station,SACRAMENTO,SAC,"401 ""I"" St. (at 5th)",95814,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , ,"3,20a,20c","Sacramento Regional Transit,Yolobus",Yolobus to SMF,8,1,3,SAC
-13524802.2071,4661100.5534,139,State Capitol,SACRAMENTO,SCS,10th St. at N Street,95814, , , , ,3, , ,2,0,3,SAC
-13523154.0804,4639691.6494,140,Across from McDonald's,ELK GROVE,EKG,Harbor Point Dr. at Renwick Ave.,95758, , , , ,3, , ,2,0,3,SAC
-13024582.5574,4149305.0529,141,Barstow Station/Mcdonalds,BARSTOW,BBS,1611 East Main St.,92311, , , , ,9, , ,2,0,8,SBD
-12757930.5068,4142250.369,142,Amtrak Station,NEEDLES,NDL,900 Front St.,92363,Amtrak,Southwest Chief, , , , , ,1,0,8,SBD
-13096563.5006,4037146.8252,143,Amtrak Station,ONTARIO,ONA,228 South Plum St.,91761,Amtrak,"Sunset Limited,Texas Eagle", , ,19, , ,3,1,8,SBD
-13058806.8775,4042820.389,144,Amtrak/Metrolink Station,SAN BERNARDINO,SNB,1170 W. 3rd St.,92410,Amtrak,Southwest Chief,Metrolink,"Inland Empire-Orange County Line,San Bernardino Line",19, , ,3,1,8,SBD
-13066678.7285,3920888.788,145,Transportation Center,OCEANSIDE,OSD,235 S. Tremont Ave.,92054,Amtrak,Pacific Surfliner,"Coaster,Metrolink,Sprinter","Coaster,Inland Empire-Orange County Line,Orange County Line",1a,"NCTD Breeze,San Diego MTS", ,5,1,11,SD
-13046598.3733,3862804.6233,146,Transit Center,SAN DIEGO-OLD TOWN,OLT,"4005 Taylor St., at Congress St.",92110,Amtrak,Pacific Surfliner,Coaster,Coaster, ,"NCTD Breeze,San Diego MTS", ,4,1,11,SD
-13043278.8776,3857757.7159,147,Sante Fe Depot,SAN DIEGO,SAN,1050 Kettner Blvd.,92101,Amtrak,Pacific Surfliner,Coaster,Coaster,1a,"NCTD Breeze,San Diego MTS",San Diego Transit bus to SAN,8,1,11,SD
-13054504.2348,3894226.0793,148,Amtrak Station,SOLONA BEACH,SOL,105 Cedros Ave.,92075,Amtrak,Pacific Surfliner,Coaster,Coaster,1a,"NCTD Breeze,San Diego MTS", ,5,1,11,SD
-13625098.1324,4550313.8171,149,Financial District,SAN FRANCISCO,SFF,California & Drumm St. (Hyatt Regency),94111, , , , ,"34,99", , ,2,0,4,SF
-13626265.2715,4549065.4435,150,SF Shopping Center,SAN FRANCISCO,SFS,835 Market St. (at Powell),94103, , , , ,99, , ,2,0,4,SF
-13625677.8217,4548976.518,151,Caltrain Station,SAN FRANCISCO,SFM,Howard St. at 4th St.,94103, , , , ,99, , ,2,0,4,SF
-13624968.0595,4547934.4182,152,Caltrain Station,SAN FRANCISCO,SFP,4th & Townsend Sts.,94107, , , , ,"34,99", , ,2,0,4,SF
-13626563.5282,4552368.1473,153,Pier 39,SAN FRANCISCO,SFW,Bus Turnout Main Ent-The Embarcadero,94133, , , , ,99, , ,2,0,4,SF
-13499965.7852,4598353.6683,154,Transportation Center,LODI,LOD,24 South Sacramento St.,95240,Amtrak,San Joaquin, , ,"3,6,34",Lodi GrapeLine Transit, ,5,1,10,SJ
